category;text_ru;text_kk;text_en;exposure_time;answer_time;correct_answer_ru;correct_answer_kk;correct_answer_en;wrong_1_ru;wrong_1_kk;wrong_1_en;wrong_2_ru;wrong_2_kk;wrong_2_en;wrong_3_ru;wrong_3_kk;wrong_3_en;image_filename;image_prompt
Multi_table;Сколько будет 2 * 2?;2 * 2 қанша болады?;How much is 2 * 2?;0;15;4;4;4;2;2;2;6;6;6;5;5;5;;
Multi_table;Сколько будет 2 * 3?;2 * 3 қанша болады?;How much is 2 * 3?;0;15;6;6;6;3;3;3;7;7;7;5;5;5;;
Multi_table;Сколько будет 2 * 4?;2 * 4 қанша болады?;How much is 2 * 4?;0;15;8;8;8;12;12;12;7;7;7;4;4;4;;
Multi_table;Сколько будет 2 * 5?;2 * 5 қанша болады?;How much is 2 * 5?;0;15;10;10;10;9;9;9;8;8;8;12;12;12;;
Multi_table;Сколько будет 2 * 6?;2 * 6 қанша болады?;How much is 2 * 6?;0;15;12;12;12;14;14;14;6;6;6;11;11;11;;
Multi_table;Сколько будет 2 * 7?;2 * 7 қанша болады?;How much is 2 * 7?;0;15;14;14;14;15;15;15;21;21;21;7;7;7;;
Multi_table;Сколько будет 2 * 8?;2 * 8 қанша болады?;How much is 2 * 8?;0;15;16;16;16;15;15;15;8;8;8;18;18;18;;
Multi_table;Сколько будет 2 * 9?;2 * 9 қанша болады?;How much is 2 * 9?;0;15;18;18;18;20;20;20;16;16;16;27;27;27;;
Multi_table;Сколько будет 3 * 2?;3 * 2 қанша болады?;How much is 3 * 2?;0;15;6;6;6;7;7;7;8;8;8;5;5;5;;
Multi_table;Сколько будет 3 * 3?;3 * 3 қанша болады?;How much is 3 * 3?;0;15;9;9;9;8;8;8;10;10;10;6;6;6;;
Multi_table;Сколько будет 3 * 4?;3 * 4 қанша болады?;How much is 3 * 4?;0;15;12;12;12;13;13;13;11;11;11;15;15;15;;
Multi_table;Сколько будет 3 * 5?;3 * 5 қанша болады?;How much is 3 * 5?;0;15;15;15;15;14;14;14;18;18;18;12;12;12;;
Multi_table;Сколько будет 3 * 6?;3 * 6 қанша болады?;How much is 3 * 6?;0;15;18;18;18;17;17;17;15;15;15;12;12;12;;
Multi_table;Сколько будет 3 * 7?;3 * 7 қанша болады?;How much is 3 * 7?;0;15;21;21;21;20;20;20;14;14;14;24;24;24;;
