category;text_ru;text_kk;text_en;exposure_time;answer_time;correct_answer_ru;correct_answer_kk;correct_answer_en;wrong_1_ru;wrong_1_kk;wrong_1_en;wrong_2_ru;wrong_2_kk;wrong_2_en;wrong_3_ru;wrong_3_kk;wrong_3_en;image_filename;image_prompt
psychology;Коллега публично критикует вашу идею на собрании. Ваши действия?;Әріптесіңіз жиналыста сіздің идеяңызды сынады. Сіздің әрекетіңіз?;A colleague publicly criticizes your idea at a meeting. Your actions?;0;45;Выслушаю и конструктивно отвечу на аргументы;Тыңдап, дәлелдерге сындарлы жауап беремін;Listen and respond constructively;Громко возмущусь и начну критиковать его в ответ;Қатты ашуланып, оны сынай бастаймын;Loudly object and criticize back;Промолчу, но после собрания пожалуюсь руководству;Үндемеймін, бірақ жиналыстан соң шағымданамын;Stay silent, complain later;Обижусь и перестану с ним разговаривать;Ренжіп, онымен сөйлесуді доғарамын;Get offended and stop talking;;
psychology;Вы заметили серьезную ошибку в отчете за час до дедлайна. Что сделаете?;Есепті тапсыруға бір сағат қалғанда қатені байқадыңыз. Не істейсіз?;You noticed a serious error one hour before deadline. What do you do?;0;45;Сообщу руководителю и постараюсь исправить максимум;Басшыға хабарлап, барынша түзетуге тырысамын;Inform manager, fix max possible;Отправлю как есть, надеясь, что не заметят;Байқамайды деп үміттеніп, сол күйінде жіберемін;Send as is, hoping unnoticed;Сделаю вид, что заболел, чтобы выиграть время;Уақыт ұту үшін ауырып қалғандай түр көрсетемін;Pretend to be sick to gain time;Обвиню коллегу, который дал исходные данные;Деректерді берген әріптесімді кінәлаймын;Blame colleague for data;;
psychology;Клиент просит предоставить конфиденциальную информацию. Ваш ответ?;Клиент құпия ақпаратты сұрады. Сіздің жауабыңыз?;Client asks for confidential info. Your answer?;0;45;Вежливо откажу, сославшись на политику компании;Саясатқа сілтеме жасап, сыпайы бас тартамын;Politely refuse, citing policy;Дам информацию, чтобы сохранить хорошие отношения;Жақсы қарым-қатынас үшін ақпаратты беремін;Give info to maintain relations;Скажу, что не знаю эту информацию;Бұл ақпаратты білмеймін деп айтамын;Say I don't know;Попрошу вознаграждение за эту услугу;Бұл қызмет үшін ақы сұраймын;Ask for reward;;
psychology;Команда не успевает сдать проект. Ваши действия?;Команда жобаны үлгермей жатыр. Сіздің әрекетіңіз?;Team failing project deadline. Your actions?;0;45;Предложу помощь коллегам и задержусь на работе;Көмек ұсынып, жұмыста кідіремін;Offer help and stay late;Сделаю только свою часть и уйду домой вовремя;Тек өз бөлігімді жасап, үйге қайтамын;Do my part and leave on time;Буду паниковать и торопить других;Абыржып, басқаларды асықтырамын;Panic and rush others;Спрячусь от руководителя;Басшыдан тығыламын;Hide from manager;;
psychology;Новая сложная задача, которую вы не знаете как решать. Ваши действия?;Өзіңіз білмейтін жаңа қиын тапсырма. Не істейсіз?;New hard task you don't know how to do. Actions?;0;45;Изучу мануалы и попрошу совета у опытных;Нұсқаулықты оқып, тәжірибелілерден сұраймын;Study manuals, ask experts;Откажусь, так как не умею это делать;Істей алмайтындықтан бас тартамын;Refuse as I can't do it;Буду делать наугад, авось получится;Түйсікпен жасап көремін;Try blindly, hope for best;Попрошу передать задачу другому;Басқа біреуге беруді сұраймын;Ask to reassign;;
psychology;Вы слышите сплетни коллег о руководстве. Что сделаете?;Әріптестер басшылықты өсектеп жатыр. Не істейсіз?;Colleagues gossiping about boss. What do you do?;0;45;Не буду участвовать и вернусь к работе;Қатыспаймын және жұмысқа кірісемін;Ignore and work;Присоединюсь и узнаю подробности;Қосылып, мән-жайды білемін;Join and listen;Побегу докладывать руководству;Басшылыққа баяндауға жүгіремін;Run to report;Запишу на диктофон;Диктофонға жазып аламын;Record on phone;;
psychology;Руководитель дал нечеткие инструкции и ушел. Ваши действия?;Басшы түсініксіз нұсқау беріп кетті. Не істейсіз?;Manager gave unclear instructions and left. Actions?;0;45;Свяжусь с ним или коллегами для уточнения деталей;Нақтылау үшін онымен не әріптестермен байланысамын;Contact him or colleagues to clarify;Буду делать так, как понял сам, на свой страх и риск;Түсінгенімше, өз тәуекеліммен жасаймын;Do as I understood, at own risk;Ничего не буду делать, пока он не вернется;Ол қайтып келгенше ештеңе істемеймін;Do nothing until he returns;Сделаю самую легкую часть работы;Жұмыстың ең оңай бөлігін жасаймын;Do the easiest part;;
psychology;Вы видите, как коллега нарушает технику безопасности. Ваши действия?;Әріптесіңіз қауіпсіздік ережесін бұзды. Не істейсіз?;Colleague violates safety rules. Actions?;0;45;Предупрежу его об опасности и попрошу соблюдать правила;Оған ескерту жасап, ережені сақтауын сұраймын;Warn him and ask to follow rules;Проигнорирую, это не моя ответственность;Елемеймін, бұл менің жауапкершілігім емес;Ignore, not my responsibility;Сразу напишу докладную записку директору;Директорға бірден баянат жазамын;Write report to director immediately;Сниму нарушение на видео для соцсетей;Әлеуметтік желі үшін видеоға түсіремін;Film it for social media;;
psychology;Вам стало скучно выполнять рутинные задачи. Что предпримете?;Рутинды тапсырмалардан жалықтыңыз. Не істейсіз?;Bored with routine tasks. What to do?;0;45;Подумаю, как автоматизировать или улучшить процесс;Процесті автоматтандыру не жақсарту жолын ойлаймын;Think how to automate or improve;Буду делать работу медленнее и чаще отдыхать;Жұмысты баяу жасап, жиі демаламын;Work slower, take breaks;Начну искать развлечения в интернете;Интернеттен ермек іздей бастаймын;Browse internet for fun;Пожалуюсь всем, какая у меня скучная работа;Барлығына жұмысымның іш пыстырарлық екенін айтамын;Complain to everyone;;
psychology;Коллега присвоил себе вашу идею и получил похвалу. Реакция?;Әріптесіңіз идеяңызды иемденіп, мақтау алды. Реакция?;Colleague stole your idea and got praise. Reaction?;0;45;Поговорю с коллегой наедине и проясню ситуацию;Әріптесіммен жеке сөйлесіп, жағдайды анықтаймын;Talk privately to colleague;Устрою скандал прямо при руководстве;Басшылықтың көзінше жанжал шығарамын;Make a scene before management;Затаю обиду и буду мешать ему работать;Кек сақтап, жұмысына кедергі келтіремін;Hold grudge and sabotage him;Ничего не сделаю, главное — польза для дела;Ештеңе істемеймін, бастысы — іске пайдасы;Do nothing, main thing is result;;
