category;text_ru;text_kk;text_en;exposure_time;answer_time;correct_answer_ru;correct_answer_kk;correct_answer_en;wrong_1_ru;wrong_1_kk;wrong_1_en;wrong_2_ru;wrong_2_kk;wrong_2_en;wrong_3_ru;wrong_3_kk;wrong_3_en;image_filename;image_prompt
logic;Какое число продолжает ряд: 2, 4, 8, 16, ...?;Қатарды жалғастыратын санды табыңыз: 2, 4, 8, 16, ...?;What number continues the sequence: 2, 4, 8, 16, ...?;0;60;32;32;32;24;24;24;48;48;48;64;64;64;;
logic;Ни один из вегетарианцев не ест мяса. Некоторые спортсмены — вегетарианцы. Следовательно...;Вегетарианшылардың ешқайсысы ет жемейді. Кейбір спортшылар — вегетарианшылар. Демек...;No vegetarians eat meat. Some athletes are vegetarians. Therefore...;0;60;Некоторые спортсмены не едят мяса;Кейбір спортшылар ет жемейді;Some athletes do not eat meat;Все спортсмены не едят мяса;Барлық спортшылар ет жемейді;All athletes do not eat meat;Все вегетарианцы — спортсмены;Барлық вегетарианшылар — спортшылар;All vegetarians are athletes;Никто из спортсменов не ест мяса;Спортшылардың ешқайсысы ет жемейді;No athletes eat meat;;
logic;Вставьте пропущенное слово: Рыба -> Чешуя, Птица -> ...?;Сөзді толықтырыңыз: Балық -> Қабыршақ, Құс -> ...?;Fill in the missing word: Fish -> Scales, Bird -> ...?;0;60;Перья;Қауырсындар;Feathers;Крылья;Қанаттар;Wings;Полет;Ұшу;Flight;Небо;Аспан;Sky;;
logic;Какое слово лишнее: Яблоко, Груша, Картофель, Персик?;Артық сөзді табыңыз: Алма, Алмұрт, Картоп, Шабдалы?;Which word is the odd one out: Apple, Pear, Potato, Peach?;0;45;Картофель;Картоп;Potato;Яблоко;Алма;Apple;Груша;Алмұрт;Pear;Персик;Шабдалы;Peach;;
logic;Врач прописал 3 укола каждые полчаса. За сколько времени будут сделаны все уколы?;Дәрігер жарты сағат сайын 3 екпе жасауды бұйырды. Барлық екпе қанша уақытта жасалады?;A doctor prescribed 3 injections every half hour. How long will it take to complete all injections?;0;60;1 час;1 сағат;1 hour;1.5 часа;1.5 сағат;1.5 hours;2 часа;2 сағат;2 hours;30 минут;30 минут;30 minutes;;
logic;Продолжите ряд: 1, 1, 2, 3, 5, 8, ...?;Қатарды жалғастырыңыз: 1, 1, 2, 3, 5, 8, ...?;Continue the sequence: 1, 1, 2, 3, 5, 8, ...?;0;60;13;13;13;11;11;11;15;15;15;21;21;21;;
logic;Какое слово дополняет пару: Утро -> Завтрак, Вечер -> ...?;Жұпты толықтыратын сөз: Таң -> Таңғы ас, Кеш -> ...?;Word analogy: Morning -> Breakfast, Evening -> ...?;0;45;Ужин;Кешкі ас;Dinner;Обед;Түскі ас;Lunch;Сон;Ұйқы;Sleep;Полдник;Бесін ас;Afternoon snack;;
logic;Все А являются Б. Все Б являются В. Следовательно...;Барлық А дегеніміз Б. Барлық Б дегеніміз В. Демек...;All A are B. All B are C. Therefore...;0;60;Все А являются В;Барлық А дегеніміз В;All A are C;Все В являются А;Барлық В дегеніміз А;All C are A;Некоторые А не являются В;Кейбір А дегеніміз В емес;Some A are not B;Никакой связи нет;Ешқандай байланыс жоқ;No connection;;
logic;Стул относится к Мебели, как Окунь к...?;Орындық Жиһазға жатады, ал Алабұға неге жатады...?;Chair is to Furniture as Perch is to...?;0;45;Рыбам;Балықтарға;Fish;Птицам;Құстарға;Birds;Млекопитающим;Сүтқоректілерге;Mammals;Воде;Суға;Water;;
logic;Что тяжелее: килограмм пуха или килограмм железа?;Не ауыр: бір келі мамық па әлде бір келі темір ме?;Which is heavier: a kilogram of feathers or a kilogram of iron?;0;30;Одинаково;Бірдей;They are equal;Железо;Темір;Iron;Пух;Мамық;Feathers;Зависит от объема;Көлеміне байланысты;Depends on volume;;
